1,1
2,01
3,001
4,0000
5,000110
6,00010111
7,000111011
8,000101101
9,0001011001
10,00011101011
11,00011100001
12,00011110000
13,000101100011
20,000111000000
553,000111000111
556,000100000001
561,000100000011
567,000100000101
602,000111000001
629,000100010011
645,000100010110
674,000100011100
945,000100110110
14,0001110001001
15,0001110101011
16,0001111000100
22,0001110001010
340,0001111100011
537,0001110001011
540,0001110001100
550,0001110001101
552,0001000000000
557,0001110010000
558,0001000000100
559,0001110010001
562,0001000000101
563,0001000001000
569,0001110010010
570,0001000001100
572,0001110010011
577,0001110010100
579,0001110010101
580,0001000001111
586,0001000010010
587,0001000010011
598,0001000011000
599,0001000011001
603,0001110010110
606,0001000011010
608,0001110010111
609,0001000011011
612,0001000011101
615,0001110011000
616,0001000011110
618,0001000011111
622,0001000100001
625,0001000100011
627,0001000100100
638,0001110011001
640,0001000101010
643,0001110011010
654,0001000110000
655,0001110011011
656,0001000110001
665,0001000110101
667,0001110011100
671,0001110011101
672,0001110011110
679,0001000111100
681,0001110011111
683,0001000111110
685,0001000111111
689,0001110100000
690,0001110100001
694,0001110100010
697,0001001000010
698,0001001000011
704,0001001000100
709,0001001000110
710,0001001000111
779,0001001001101
813,0001001010010
827,0001001010011
844,0001110100011
882,0001001011100
886,0001001011110
888,0001001011111
894,0001001100000
900,0001001100010
958,0001001101110
963,0001001110000
965,0001110100100
970,0001001110010
979,0001001110101
980,0001001110110
997,0001001111010
1018,0001001111111
1019,0001010000000
1026,0001110100101
1035,0001010000011
1283,0001010010011
1287,0001010010101
1316,0001110100110
1320,0001010011100
1325,0001010011110
1328,0001010011111
1331,0001110100111
1332,0001010100001
1335,0001010100010
1350,0001110101000
1351,0001010100110
1353,0001010100111
1355,0001010101001
1357,0001010101010
1363,0001010101100
1944,0001010111000
1961,0001110101001
1964,0001010111001
1965,0001010111010
1987,0001010111110
2014,0001011000010
21,00011110001011
24,00011110001100
30,00011110001111
34,00011110010000
65,00011110010101
71,00011110010110
84,00011110011001
118,00011110011110
120,00011110100000
123,00011110100001
134,00011110100010
148,00011110100101
183,00011110101100
185,00011110101101
216,00011110110001
217,00011110110010
237,00011110110100
288,00011110111011
298,00011110111100
309,00011110111110
318,00011111000000
323,00011111000001
324,00011111000010
335,00011111000100
361,00011111001010
378,00011111001101
383,00011111001110
414,00011111010100
418,00011111010101
425,00011111010111
429,00011111011001
443,00011111011011
458,00011111011111
461,00011111100001
465,00011111100011
474,00011111100101
493,00011111101010
503,00011111101101
510,00011111101111
513,00011111110001
518,00011111110011
527,00011111110101
528,00011111110110
531,00011111110111
532,00011111111000
534,00011111111010
541,00011111111100
548,00011111111110
554,00010000000010
555,00010000000011
564,00010000010010
565,00010000010011
571,00010000011010
573,00010000011011
574,00010000011100
576,00010000011101
581,00010000100000
582,00010000100001
583,00010000100010
585,00010000100011
588,00010000101000
589,00010000101001
591,00010000101010
592,00010000101011
593,00010000101100
595,00010000101101
597,00010000101110
601,00010000101111
611,00010000111000
613,00010000111001
619,00010001000000
620,00010001000001
623,00010001000100
624,00010001000101
630,00010001001010
631,00010001001011
632,00010001010000
633,00010001010001
639,00010001010010
641,00010001010011
644,00010001010110
646,00010001010111
647,00010001011100
652,00010001011101
653,00010001011110
657,00010001011111
659,00010001100100
660,00010001100101
661,00010001100110
662,00010001100111
663,00010001101000
664,00010001101001
666,00010001101100
668,00010001101101
670,00010001101110
673,00010001101111
676,00010001110100
677,00010001110101
678,00010001110110
680,00010001110111
682,00010001111010
684,00010001111011
686,00010010000000
692,00010010000001
693,00010010000010
703,00010010000011
705,00010010001010
713,00010010001011
720,00010010010000
743,00010010010001
744,00010010010010
749,00010010010011
752,00010010010100
756,00010010010101
761,00010010010110
766,00010010010111
770,00010010011000
780,00010010011001
783,00010010011100
784,00010010011101
789,00010010011110
805,00010010011111
810,00010010100000
811,00010010100001
812,00010010100010
825,00010010100011
834,00010010101000
838,00010010101001
842,00010010101010
846,00010010101011
852,00010010101100
856,00010010101101
858,00010010101110
864,00010010101111
867,00010010110000
868,00010010110001
871,00010010110010
873,00010010110011
874,00010010110100
875,00010010110101
876,00010010110110
883,00010010110111
885,00010010111010
887,00010010111011
897,00010011000010
898,00010011000011
902,00010011000110
907,00010011000111
908,00010011001000
909,00010011001001
913,00010011001010
916,00010011001011
920,00010011001100
923,00010011001101
926,00010011001110
929,00010011001111
932,00010011010000
935,00010011010001
938,00010011010010
940,00010011010011
942,00010011010100
948,00010011010101
953,00010011010110
954,00010011010111
960,00010011011110
966,00010011011111
968,00010011100010
969,00010011100011
971,00010011100110
975,00010011100111
976,00010011101000
981,00010011101001
990,00010011101110
991,00010011101111
993,00010011110000
994,00010011110001
995,00010011110010
1002,00010011110011
1003,00010011110110
1004,00010011110111
1005,00010011111000
1006,00010011111001
1010,00010011111010
1011,00010011111011
1016,00010011111100
1025,00010011111101
1027,00010100000010
1030,00010100000011
1033,00010100000100
1045,00010100000101
1048,00010100001000
1056,00010100001001
1070,00010100001010
1072,00010100001011
1083,00010100001100
1119,00010100001101
1124,00010100001110
1133,00010100001111
1150,00010100010000
1153,00010100010001
1154,00010100010010
1183,00010100010011
1196,00010100010100
1210,00010100010101
1222,00010100010110
1227,00010100010111
1230,00010100011000
1239,00010100011001
1240,00010100011010
1242,00010100011011
1247,00010100011100
1252,00010100011101
1258,00010100011110
1260,00010100011111
1261,00010100100000
1269,00010100100001
1273,00010100100010
1275,00010100100011
1276,00010100100100
1277,00010100100101
1286,00010100101000
1291,00010100101001
1297,00010100101100
1301,00010100101101
1302,00010100101110
1304,00010100101111
1305,00010100110000
1307,00010100110001
1309,00010100110010
1311,00010100110011
1312,00010100110100
1313,00010100110101
1318,00010100110110
1321,00010100110111
1322,00010100111010
1326,00010100111011
1329,00010101000000
1330,00010101000001
1339,00010101000110
1341,00010101000111
1344,00010101001000
1347,00010101001001
1349,00010101001010
1352,00010101001011
1354,00010101010000
1358,00010101010001
1360,00010101010110
1364,00010101010111
1366,00010101011010
1370,00010101011011
1376,00010101011100
1476,00010101011101
1753,00010101011110
1760,00010101011111
1793,00010101100000
1818,00010101100001
1822,00010101100010
1827,00010101100011
1832,00010101100100
1847,00010101100101
1859,00010101100110
1878,00010101100111
1879,00010101101000
1905,00010101101001
1919,00010101101010
1920,00010101101011
1922,00010101101100
1927,00010101101101
1930,00010101101110
1963,00010101101111
1968,00010101110110
1975,00010101110111
1980,00010101111000
1982,00010101111001
1985,00010101111010
1990,00010101111011
1991,00010101111110
1993,00010101111111
1994,00010110000000
2000,00010110000001
2002,00010110000010
2006,00010110000011
2017,00010110000110
2018,00010110000111
2019,00010110001000
2024,00010110001001
2028,00010110001010
2031,00010110001011
2032,00011100010000
2033,00011100010001
2035,00011101010100
17,000111010101010
18,000111010101011
19,000111100010100
23,000111100010101
25,000111100011010
26,000111100011011
27,000111100011100
31,000111100011101
37,000111100100010
38,000111100100011
42,000111100100100
49,000111100100101
50,000111100100110
51,000111100100111
63,000111100101000
72,000111100101001
73,000111100101110
75,000111100101111
81,000111100110000
88,000111100110001
89,000111100110100
97,000111100110101
98,000111100110110
104,000111100110111
108,000111100111000
111,000111100111001
112,000111100111010
115,000111100111011
119,000111100111110
121,000111100111111
135,000111101000110
142,000111101000111
145,000111101001000
146,000111101001001
157,000111101001100
158,000111101001101
159,000111101001110
161,000111101001111
162,000111101010000
163,000111101010001
165,000111101010010
167,000111101010011
168,000111101010100
169,000111101010101
170,000111101010110
193,000111101010111
200,000111101011100
201,000111101011101
202,000111101011110
213,000111101011111
214,000111101100000
215,000111101100001
226,000111101100110
244,000111101100111
248,000111101101010
250,000111101101011
252,000111101101100
254,000111101101101
263,000111101101110
277,000111101101111
282,000111101110000
283,000111101110001
284,000111101110010
285,000111101110011
287,000111101110100
302,000111101110101
306,000111101111010
308,000111101111011
311,000111101111110
315,000111101111111
332,000111110000110
334,000111110000111
338,000111110001010
345,000111110001011
347,000111110010000
348,000111110010001
354,000111110010010
365,000111110010011
375,000111110010110
376,000111110010111
377,000111110011000
382,000111110011001
385,000111110011110
390,000111110011111
396,000111110100000
397,000111110100001
398,000111110100010
400,000111110100011
403,000111110100100
407,000111110100101
410,000111110100110
416,000111110100111
421,000111110101100
422,000111110101101
427,000111110110000
431,000111110110001
436,000111110110100
444,000111110110101
445,000111110111000
451,000111110111001
452,000111110111010
453,000111110111011
454,000111110111100
455,000111110111101
459,000111111000000
463,000111111000001
464,000111111000100
467,000111111000101
470,000111111001000
475,000111111001001
478,000111111001100
481,000111111001101
482,000111111001110
484,000111111001111
485,000111111010000
489,000111111010001
491,000111111010010
492,000111111010011
494,000111111010110
496,000111111010111
497,000111111011000
500,000111111011001
506,000111111011100
509,000111111011101
511,000111111100000
512,000111111100001
516,000111111100100
521,000111111100101
524,000111111101000
525,000111111101001
533,000111111110010
535,000111111110011
536,000111111110110
545,000111111110111
546,000111111111010
547,000111111111011
549,000111111111110
551,000111111111111
